inventory_id,part_num,color_id,quantity,is_spare
38,3678b,0,1,f
38,3710,4,2,f
38,3710,0,2,f
38,3710,70,2,f
38,3741,2,11,f
38,3742,15,1,t
38,3742,15,3,f
38,3742,5,9,f
38,3742,4,6,f
38,3742,5,3,t
38,3742,4,2,t
38,3747b,4,1,f
38,3747b,14,4,f
38,3794b,2,1,f
38,3794b,19,3,f
38,3795,4,3,f
38,3795,25,2,f
38,3795,19,5,f
38,3837,72,1,f
38,3839b,15,4,f
38,3847,135,2,f
38,3899,14,2,f
38,3942c,15,2,f
38,3942c,0,1,f
38,3958,4,1,f
38,3958,19,1,f
38,3958,72,1,f
38,3958,15,1,f
38,4070,1,4,f
38,4070,4,6,f
38,4070,15,6,f
38,4070,0,4,f
38,4070,71,4,f
38,4083,0,2,f
38,4150,0,4,f
38,4332,0,1,f
38,4341,0,1,f
38,43713,15,1,f
38,43719,4,4,f
38,43719,0,1,f
38,44567a,14,4,f
38,4477,70,4,f
38,4495b,297,3,f
38,4532,4,2,f
38,4533,41,1,f
38,4536,15,2,f
38,4738a,70,2,f
38,4739a,70,2,f
38,4871,15,1,f
38,49668,0,8,f
38,49668,191,4,f
38,50745,4,2,f
38,54200,15,5,f
38,54200,70,4,f
38,54200,14,7,f
38,59900,297,3,f
38,6019,4,2,f
38,60471,4,4,f
38,60474,0,1,f
38,6124,45,1,f
38,6141,29,14,f
38,6141,15,8,f
38,6141,25,8,f
38,6141,14,3,f
38,6141,4,5,f
38,6141,0,12,f
38,6251,15,2,f
38,6255,10,3,f
38,6255,2,4,f
38,63965,15,3,f
38,64647,57,2,f
38,6636,15,1,f
40,2412b,15,2,f
40,2540,19,4,f
40,3023,47,1,f
40,3023,71,1,f
40,3023,15,3,f
40,30374,15,4,f
40,3062b,15,4,f
40,3069bpr0089,15,2,f
40,3069bpr0091,15,2,f
40,3623,19,1,f
40,3710,15,1,f
40,3710,320,1,f
40,3794a,15,1,f
40,3794a,320,1,f
40,6019,15,8,f
40,6141,71,1,f
40,6141,71,1,t
40,6538b,15,4,f
42,87079pr0052,15,1,f
42,90754,4,1,f
43,3003,2,3,f
43,3004,71,3,f
43,3004,70,3,f
43,3004,73,3,f
43,3005,70,6,f
43,3005,2,3,f
43,3005,27,3,f
43,3005,25,3,f
43,3020,19,3,f
43,3020,1,6,f
43,30238,0,3,f
43,30374,70,3,f
43,3062b,19,3,f
43,33291,5,3,f
43,3626cpr0891,14,3,f
43,3626cpr1580,14,3,f
43,3835,0,3,f
43,41539,71,3,f
43,59363,70,3,f
43,6126a,57,3,f
43,6131,0,3,f
43,6141,27,3,f
43,6141,25,3,f
43,6141,14,3,f
43,6251,15,3,f
43,86035,27,3,f
43,970c00,0,3,f
43,970c00,4,3,f
43,973c03h01,0,3,f
43,973c22h01,4,3,f
45,12825,71,4,f
45,2412b,179,1,f
45,2437,40,2,f
45,3004,288,2,f
45,3005,288,2,f
45,3020,72,1,f
45,3023,15,2,f
45,3023,288,2,f
45,3024,36,1,t
45,3024,36,2,f
45,30374,71,2,f
45,3069b,15,1,f
45,3070b,288,4,f
45,3070b,288,1,t
45,3710,72,1,f
45,3710,288,5,f
45,3795,71,2,f
45,4600,0,2,f
45,4865b,19,2,f
45,50944pr0001,0,4,f
45,50951,0,4,f
45,54200,288,2,f
45,54200,288,1,t
45,60212,0,2,f
45,6141,0,1,t
45,6141,0,1,f
45,63864,288,2,f
45,93273,15,1,f
45,93274,0,2,f
45,93604,15,1,f
45,98138,47,2,f
45,98138,47,1,t
45,99780,71,1,f
